34200.015105074,4,15818974,4,5794000,1
34200.05990197,4,15818974,300,5794000,1
34200.113246707,5,0,1,5795100,1
34200.113246707,5,0,1,5795000,1
34200.113246707,5,0,1,5794900,1
34200.113246707,5,0,1,5794800,1
34200.113246707,4,15818974,167,5794000,1
34200.154178213,1,16155653,100,5794000,1
34200.173594288,1,16160421,100,5791200,1
34200.202322801,1,7091133,40,5790000,1
34200.202322801,1,4773921,25,5798900,-1
34200.202322801,1,9248169,1,5790000,1
34200.202322801,1,1910227,50,5799500,-1
34200.202322801,1,4496151,1,5789900,1
34200.202322801,1,12686268,5,5799800,-1
34200.202322801,1,1333270,1,5800000,-1
34200.202322801,1,1376018,50,5800000,-1
34200.202322801,1,1536073,6,5800000,-1
34200.202322801,1,2131996,42,5800000,-1
34200.202322801,1,2133235,63,5800000,-1
34200.202322801,1,2391610,40,5800000,-1
34200.202322801,1,3557490,60,5800000,-1
34200.202322801,1,3843275,75,5800000,-1
34200.202322801,1,3843276,7,5800000,-1
34200.202322801,1,3843277,30,5800000,-1
34200.202322801,1,4753104,535,5800000,-1
34200.202322801,1,4773941,5,5800000,-1
34200.202322801,1,4796277,10,5800000,-1
34200.202322801,1,4861925,13,5800000,-1
34200.202322801,1,10242240,500,5800000,-1
34200.202322801,1,13233299,1000,5800000,-1
34200.202322801,1,13488904,100,5800000,-1
34200.202322801,1,3843279,10,5800100,-1
34200.203135277,4,15818974,29,5794000,1
34200.203135277,4,16155653,100,5794000,1
34200.2070117,1,16167456,1,5794000,-1
34200.207763353,4,16167456,1,5794000,-1
34200.207763353,1,16167632,99,5794000,1
34200.236450238,4,16167632,11,5794000,1
34200.236927202,1,16174771,75,5791900,1
34200.249457498,4,16167632,29,5794000,1
34200.35865663,5,0,4,5797300,-1
34200.501687061,1,16228038,100,5797900,-1
34200.502444619,1,16228180,10,5797900,-1
34200.633496578,1,16252843,100,5794000,1
34200.648004834,1,16255142,200,5800000,-1
34200.65035666,1,16255672,200,5800000,-1
34200.696339803,5,0,100,5794600,1
34200.696339803,4,16167632,59,5794000,1
34200.696339803,4,16252843,12,5794000,1
34200.763732578,1,16274753,100,5797900,-1
34201.44557354,4,16252843,88,5794000,1
34201.44557354,4,16174771,75,5791900,1
34201.44557354,5,0,37,5791800,1
34202.184836108,5,0,63,5791800,1
34202.184836108,5,0,29,5791300,1
34202.190134797,3,15284827,400,5787000,1
34202.203099603,3,15072861,500,5785000,1
34202.323971605,1,16458474,101,5786100,1
34202.34088956,3,16458474,101,5786100,1
34202.472695361,1,16477262,100,5797300,-1
